Time (min),Real,Ref,Error
0.0033576250076293944,19.926,-0.125,-20.051
0.011118169625600178,19.926,37.039,17.113000000000003
0.014451972643534343,19.926,37.039,17.113000000000003
0.017785569032033283,19.938,37.039,17.101000000000003
0.021118664741516115,19.938,37.039,17.101000000000003
0.024451911449432373,19.926,37.026,17.100000000000005
0.02778524160385132,19.938,37.039,17.101000000000003
0.031118547916412352,19.926,37.039,17.113000000000003
0.03445228735605876,19.926,37.064,17.138
0.037785438696543376,19.938,37.039,17.101000000000003
0.041118653615315755,19.938,37.039,17.101000000000003
0.04445210297902425,19.938,37.039,17.101000000000003
0.04778561989466349,19.938,37.039,17.101000000000003
0.05111891428629557,19.938,37.039,17.101000000000003
0.05445311069488525,19.938,37.039,17.101000000000003
0.05778591235478719,19.938,37.039,17.101000000000003
0.06111874580383301,19.938,37.051,17.113000000000003
0.06445319255193074,19.938,37.051,17.113000000000003
0.0677850882212321,19.938,37.039,17.101000000000003
0.07111860911051432,19.951,37.064,17.113
0.07445210218429565,19.938,37.039,17.101000000000003
0.07778507073720296,19.938,37.051,17.113000000000003
0.08111895720163981,19.951,37.039,17.088
0.0844522515932719,19.938,37.051,17.113000000000003
0.08778562545776367,19.938,37.026,17.088000000000005
0.091119118531545,19.938,37.039,17.101000000000003
0.09445215463638305,19.938,37.051,17.113000000000003
0.09778513113657633,19.938,37.026,17.088000000000005
0.10111866394678752,19.926,37.051,17.125000000000004
0.10445218880971273,19.951,37.039,17.088
0.10778536796569824,19.938,37.039,17.101000000000003
0.11111894051233927,19.951,37.051,17.1
0.11445478598276775,19.951,37.051,17.1
0.117786705493927,19.951,37.039,17.088
0.12111897468566894,19.951,37.051,17.1
0.12446652253468832,19.938,37.039,17.101000000000003
0.1277852495511373,19.951,37.026,17.075000000000003
0.13111883004506428,19.951,37.039,17.088
0.1344518224398295,19.951,37.039,17.088
0.137785275777181,19.951,37.051,17.1
0.14111851851145427,19.951,37.026,17.075000000000003
0.14445225795110067,19.951,37.051,17.1
0.14778688351313274,19.951,37.039,17.088
0.15111881891886395,19.951,37.039,17.088
0.15445387363433838,19.938,37.039,17.101000000000003
0.1577853520711263,19.951,37.039,17.088
0.16111873785654704,19.951,37.039,17.088
0.16445157130559285,19.951,37.051,17.1
0.16778825521469115,19.951,37.026,17.075000000000003
0.17112107674280802,19.951,37.051,17.1
0.1744520703951518,19.951,37.051,17.1
0.17778565486272177,19.951,37.051,17.1
0.18111865123112997,19.951,37.051,17.1
0.18445213635762533,19.938,37.051,17.113000000000003
0.18778560558954874,19.938,37.039,17.101000000000003
0.1911187489827474,19.951,37.051,17.1
0.1944519281387329,19.951,37.051,17.1
0.19778543710708618,19.938,37.039,17.101000000000003
0.20111897786458333,19.951,37.039,17.088
0.2044522484143575,19.938,37.039,17.101000000000003
0.20778541962305705,19.951,37.051,17.1
0.2111188530921936,19.951,37.039,17.088
0.214451531569163,19.951,37.039,17.088
0.21778516769409179,19.938,37.039,17.101000000000003
0.22111888726552328,19.938,37.051,17.113000000000003
0.22445156574249267,19.951,37.051,17.1
0.22778830528259278,19.938,37.051,17.113000000000003
0.2311187942822774,19.938,37.051,17.113000000000003
0.23445221583048503,19.938,37.051,17.113000000000003
0.23778542677561443,19.951,37.039,17.088
0.24111951589584352,19.938,37.051,17.113000000000003
0.24445219039916993,19.951,37.039,17.088
0.2477848768234253,19.938,37.026,17.088000000000005
0.2511183977127075,19.938,37.039,17.101000000000003
0.2544522921244303,19.938,37.039,17.101000000000003
0.25778544743855797,19.938,37.039,17.101000000000003
0.2611186106999715,19.951,37.039,17.088
0.26445224285125735,19.951,37.051,17.1
0.26778531074523926,19.951,37.051,17.1
0.2711211085319519,19.951,37.051,17.1
0.2744522412618001,19.951,37.051,17.1
0.2777856548627218,19.951,37.039,17.088
0.28111870686213175,19.951,37.039,17.088
0.28445231517155967,19.938,37.051,17.113000000000003
0.28778563340504965,19.951,37.026,17.075000000000003
0.2911187132199605,19.951,37.039,17.088
0.2944520036379496,19.951,37.039,17.088
0.29778534968694054,19.963,37.039,17.076
0.3011188824971517,19.951,37.039,17.088
0.3044522444407145,19.938,37.051,17.113000000000003
0.30778549909591674,19.951,37.051,17.1
0.31111896435419717,19.951,37.039,17.088
0.3144520282745361,19.951,37.051,17.1
Time (min),Real,Ref,Error
0.003355101744333903,19.926,-0.125,-20.051
0.01002730925877889,19.938,37.051,17.113000000000003
0.013360861937204998,19.926,37.051,17.125000000000004
0.01669761339823405,19.938,37.039,17.101000000000003
0.02002813418706258,19.938,37.051,17.113000000000003
0.0233614444732666,19.938,37.051,17.113000000000003
0.0266946276028951,19.938,37.039,17.101000000000003
0.030028112729390464,19.938,37.039,17.101000000000003
0.03336142698923747,19.938,37.051,17.113000000000003
0.03669461011886597,19.938,37.051,17.113000000000003
0.04002799193064372,19.938,37.051,17.113000000000003
0.04336072603861491,19.938,37.051,17.113000000000003
0.04669442574183146,19.938,37.051,17.113000000000003
0.050027743975321455,19.938,37.051,17.113000000000003
0.05336073637008667,19.938,37.051,17.113000000000003
0.056694626808166504,19.938,37.039,17.101000000000003
0.060028111934661864,19.938,37.039,17.101000000000003
0.0633622646331787,19.926,37.039,17.113000000000003
0.06669443845748901,19.938,37.051,17.113000000000003
0.07002897262573242,19.938,37.051,17.113000000000003
0.07336494127909342,19.938,37.051,17.113000000000003
0.076694389184316,19.938,37.051,17.113000000000003
0.08002812067667643,19.926,37.051,17.125000000000004
0.08336182435353597,19.938,37.051,17.113000000000003
0.0866945465405782,19.938,37.051,17.113000000000003
0.09002773761749268,19.938,37.051,17.113000000000003
0.09336276849110921,19.938,37.039,17.101000000000003
0.09669444561004639,19.938,37.051,17.113000000000003
0.10003069639205933,19.951,37.051,17.1
0.10336138407389323,19.951,37.039,17.088
0.10669475396474203,19.963,37.039,17.076
0.11003122727076213,19.963,37.051,17.088
0.11336139043172201,20.388,37.351,16.962999999999997
0.11669482390085856,20.388,37.339,16.950999999999997
0.1200278639793396,20.388,37.351,16.962999999999997
0.12336142460505167,20.401,37.351,16.95
0.1266946792602539,20.388,37.351,16.962999999999997
0.13002813657124837,20.401,37.351,16.95
0.1333642363548279,20.426,37.351,16.925
0.13669405778249105,20.401,37.351,16.95
0.1400280276934306,20.401,37.364,16.962999999999997
0.1433613141377767,20.401,37.351,16.95
0.14669480721155803,20.413,37.351,16.938
0.15002915859222413,20.413,37.351,16.938
0.153361177444458,20.313,37.351,17.038
0.15669509967168171,20.413,37.364,16.950999999999997
0.1600279450416565,20.438,37.351,16.913
0.16336140235265095,20.426,37.351,16.925
0.16669450600941976,20.438,37.351,16.913
0.1700274109840393,20.438,37.351,16.913
0.17336149215698243,20.438,37.351,16.913
0.17669461170832315,20.463,37.351,16.887999999999998
0.18002808094024658,20.476,37.364,16.887999999999998
0.18336148659388224,20.413,37.364,16.950999999999997
0.18669461011886596,20.451,37.351,16.9
0.19002805550893148,20.501,37.351,16.849999999999998
0.19336150487263998,20.513,37.351,16.837999999999997
0.1966972549756368,20.513,37.351,16.837999999999997
0.20002801418304444,20.538,37.339,16.801
0.2033607006072998,20.513,37.351,16.837999999999997
0.20669439633687336,20.576,37.351,16.775
0.21002785762151083,20.588,37.351,16.762999999999998
0.21336147387822468,20.601,37.364,16.762999999999998
0.21669478019078572,20.626,37.351,16.724999999999998
0.22002793550491334,20.638,37.351,16.712999999999997
0.22336146434148152,20.651,37.351,16.7
0.2266944368680318,20.676,37.351,16.675
0.2300280531247457,20.701,37.351,16.65
0.23336130380630493,20.638,37.339,16.700999999999997
0.23669455448786417,20.726,37.339,16.613
0.24002813498179118,20.751,37.364,16.612999999999996
0.24336105585098267,20.788,37.351,16.563
0.2466946005821228,20.813,37.364,16.551
0.25002800623575844,20.826,37.351,16.525
0.2533612648646037,20.851,37.314,16.463
0.2566969076792399,20.876,37.351,16.474999999999998
0.260028068224589,20.926,37.351,16.425
0.26336121559143066,20.926,37.351,16.425
0.26669513384501137,20.963,37.351,16.387999999999998
0.2700273871421814,20.988,37.351,16.363
0.273361341158549,21.026,37.364,16.337999999999997
0.27669486999511717,21.051,37.351,16.3
0.2800280849138896,21.101,37.339,16.238
0.2833612283070882,21.101,37.339,16.238
0.28669450283050535,21.138,37.351,16.212999999999997
0.2900280038515727,21.188,37.351,16.163
0.29336087703704833,21.213,37.351,16.137999999999998
0.2967507521311442,21.226,37.364,16.137999999999998
