Time (min),Real,Ref,Error
0.0033551296,23.054,56.236,33.182
0.014439857,23.051,56.23,33.179
0.0177734613,23.051,56.224,33.173
0.021106867,23.051,56.224,33.173
0.0244397481,23.048,56.23,33.182
0.0277733445,23.044,56.23,33.186
0.0311064919,23.044,56.242,33.198
0.0344398816,23.048,56.236,33.188
0.0377731125,23.048,56.255,33.207
0.0411068916,23.048,56.217,33.169
0.0444437345,23.044,56.22,33.176
0.0477769216,23.044,56.23,33.186
0.0511073073,23.044,56.227,33.183
0.0544444323,23.044,56.224,33.18
0.0577731887,23.048,56.23,33.182
0.0611069123,23.044,56.227,33.183
0.0644430836,23.038,56.227,33.189
0.0677730918,23.038,56.227,33.189
0.0711069266,23.032,56.224,33.192
0.0744402885,23.029,56.236,33.207
0.0777731021,23.029,56.233,33.204
0.081106472,23.026,56.224,33.198
0.0844397585,23.029,56.227,33.198
0.0877730966,23.023,56.23,33.207
0.0911064267,23.019,56.214,33.195
0.0944397728,23.513,56.695,33.182
0.0977770329,23.51,56.664,33.154
0.1011095444,23.501,56.655,33.154
0.1044400136,23.507,56.686,33.179
0.1077731331,23.507,56.667,33.16
0.1111101031,23.51,56.667,33.157
0.1144398093,23.51,56.664,33.154
0.1177730958,23.51,56.661,33.151
0.1211064418,23.51,56.667,33.157
0.124439772,23.507,56.661,33.154
0.1277734796,23.507,56.689,33.182
0.1311064998,23.507,56.664,33.157
0.1344398777,23.507,56.661,33.154
0.137774388,23.507,56.68,33.173
0.1411065062,23.507,56.67,33.163
0.1444397966,23.513,56.658,33.145
0.1477732301,23.516,56.674,33.158
0.1511080027,23.519,56.67,33.151
0.1544398546,23.523,56.686,33.163
0.1577731133,23.529,56.645,33.116
0.1611064434,23.532,56.674,33.142
0.1644398411,23.538,56.67,33.132
0.1677730838,23.544,56.67,33.126
0.1711064458,23.551,56.695,33.144
0.1744399826,23.557,56.674,33.117
0.1777754823,23.566,56.674,33.108
0.1811066349,23.569,56.661,33.092
0.1844397704,23.582,56.68,33.098
0.1877732992,23.591,56.661,33.07
0.1911064506,23.604,56.67,33.066
0.1944398006,23.613,56.677,33.064
0.1977731387,23.626,56.68,33.054
0.2011064649,23.641,56.686,33.045
0.2044397712,23.648,56.677,33.029
0.2077733556,23.66,56.667,33.007
0.211110425,23.669,56.661,32.992
0.2144397775,23.685,56.686,33.001
0.2177746892,23.701,56.677,32.976
0.2211065332,23.716,56.674,32.958
0.2244398753,23.729,56.664,32.935
0.227775232,23.741,56.67,32.929
0.2311066071,23.76,56.683,32.923
0.234439981,23.776,56.695,32.919
0.2377730926,23.794,56.677,32.883
0.2411064386,23.807,56.686,32.879
0.2444402019,23.829,56.692,32.863
0.2477759878,23.848,56.699,32.851
0.2511103551,23.866,56.677,32.811
0.2544399858,23.888,56.674,32.786
0.2577736139,23.91,56.67,32.76
0.2611069878,23.929,56.674,32.745
0.2644399047,23.951,56.67,32.719
0.2677730799,23.973,56.655,32.682
0.2711064259,23.998,56.68,32.682
0.2744402448,24.019,56.664,32.645
0.2777732849,24.044,56.667,32.623
0.2811093092,24.069,56.661,32.592
0.2844397704,24.091,56.667,32.576
0.2877736449,24.119,56.667,32.548
0.2911064148,24.138,56.667,32.529
0.2944397251,24.166,56.667,32.501
0.2977731228,24.194,56.667,32.473
0.3011098862,24.223,56.661,32.438
0.3044397712,24.248,56.664,32.416
0.3077730974,24.276,56.655,32.379
0.3111064553,24.304,56.667,32.363
0.3144400318,24.326,56.661,32.335
0.3177732984,24.357,56.664,32.307
0.321106418,24.385,56.667,32.282
0.3244399985,24.413,56.661,32.248
0.3277730902,24.444,56.645,32.201
0.3311066826,24.476,56.658,32.182
0.3344397704,24.504,56.674,32.17
0.3377731204,24.535,56.667,32.132
0.3411065896,24.56,56.661,32.101
0.3444399675,24.591,56.652,32.061
0.3477732619,24.623,56.661,32.038
0.3511066794,24.657,56.655,31.998
0.354439803,24.685,56.661,31.976
0.357773145,24.716,56.652,31.936
0.3611064434,24.745,56.658,31.913
0.3644398014,24.782,56.655,31.873
0.3677731156,24.816,56.661,31.845
0.3711066683,24.845,56.655,31.81
0.3744398435,24.882,56.655,31.773
0.3777737061,24.916,56.658,31.742
0.381106476,24.948,56.652,31.704
0.3844397942,24.982,56.655,31.673
0.3877730886,25.02,56.639,31.619
0.3911069473,25.054,56.655,31.601
0.3944397569,25.088,56.655,31.567
0.3977731427,25.129,56.655,31.526
0.4011069457,25.163,56.664,31.501
0.4044397314,25.201,56.658,31.457
0.4077730815,25.235,56.658,31.423
0.4111064434,25.273,56.67,31.397
0.4144398252,25.307,56.664,31.357
0.4177758296,25.348,56.658,31.31
0.4211078008,25.388,56.645,31.257
0.4244397521,25.423,56.655,31.232
0.427773114,25.466,56.661,31.195
0.431106476,25.501,56.642,31.141
0.4344398379,25.545,56.664,31.119
0.4377774874,25.585,56.649,31.064
0.4411068996,25.623,56.652,31.029
0.4444397847,25.666,56.633,30.967
0.447773687,25.707,56.62,30.913
0.4511069258,25.748,56.658,30.91
0.4544399897,25.788,56.655,30.867
0.4577731848,25.826,56.652,30.826
0.4611065904,25.866,56.652,30.786
0.4644438187,25.907,56.655,30.748
0.46777366,25.945,56.645,30.7
0.4711063981,25.991,56.661,30.67
0.474439764,26.032,56.652,30.62
0.4777733684,26.073,56.639,30.566
0.4811064204,26.113,56.652,30.539
0.4844397704,26.16,56.649,30.489
0.4877732793,26.201,56.652,30.451
0.4911067049,26.248,56.652,30.404
0.4944431186,26.291,56.649,30.358
0.4977757851,26.335,56.658,30.323
0.5011102001,26.379,56.655,30.276
0.5044398944,26.423,56.652,30.229
0.5077730735,26.47,56.655,30.185
0.5111064196,26.513,56.677,30.164
0.5144397895,26.557,56.649,30.092
0.5177730918,26.604,56.655,30.051
0.5211064299,26.648,56.652,30.004
0.5244397521,26.691,56.655,29.964
0.5277732889,26.735,56.661,29.926
0.531110998,26.779,56.655,29.876
0.5344435016,26.826,56.658,29.832
0.5377733469,26.87,56.664,29.794
0.5411066453,26.913,56.655,29.742
0.5444398959,26.954,56.655,29.701
0.5477740526,27.001,56.652,29.651
0.5511101365,27.045,56.658,29.613
0.5544402997,27.091,56.655,29.564
0.5577735821,27.135,56.655,29.52
0.5611076117,27.179,56.658,29.479
0.5644410094,27.226,56.658,29.432
0.5677743475,27.27,56.655,29.385
0.571106418,27.316,56.655,29.339
0.5744402448,27.36,56.658,29.298
0.577777199,27.398,56.661,29.263
0.5811064839,27.451,56.658,29.207
0.5844435771,27.491,56.649,29.158
0.5877730886,27.535,56.639,29.104
0.5911067605,27.576,56.661,29.085
0.5944400112,27.62,56.658,29.038
0.5977733572,27.663,56.658,28.995
0.6011069576,27.701,56.655,28.954
0.6044397791,27.745,56.655,28.91
0.6077731053,27.788,56.652,28.864
0.6111066659,27.832,56.652,28.82
0.6144428611,27.879,56.642,28.763
0.6177734057,27.923,56.645,28.722
0.6211064458,27.97,56.649,28.679
0.6244435747,28.016,56.649,28.633
0.6277732889,28.06,56.652,28.592
0.631106468,28.107,56.645,28.538
0.6344397545,28.157,56.649,28.492
0.6377730926,28.207,56.652,28.445
0.6411064943,28.254,56.658,28.404
0.6444397767,28.298,56.652,28.354
