Hora,Temperatura (C)
21:34:09,19.34
21:34:10,19.34
21:34:11,19.34
21:34:12,19.33
21:34:13,19.33
21:34:14,19.33
21:34:15,19.32
21:34:16,19.32
21:34:17,19.32
21:34:18,19.31
21:34:19,19.31
21:34:20,19.30
21:34:21,19.30
21:34:22,19.30
21:34:23,19.29
21:34:24,19.29
21:34:25,19.29
21:34:26,19.28
21:34:27,19.29
21:34:28,19.28
21:34:29,19.28
21:34:30,19.28
21:34:31,19.27
21:34:32,19.27
21:34:33,19.27
21:34:34,19.26
21:34:35,19.26
21:34:36,19.26
21:34:37,19.25
21:34:39,19.25
21:34:40,19.25
21:34:41,19.24
21:34:42,19.24
21:34:43,19.24
21:34:44,19.23
21:34:45,19.23
21:34:46,19.23
21:34:47,19.23
21:34:48,19.23
21:34:49,19.22
21:34:50,19.22
21:34:51,19.22
21:34:52,19.21
21:34:53,19.21
21:34:54,19.21
21:34:55,19.20
21:34:56,19.20
21:34:57,19.20
21:34:58,19.20
21:34:59,19.19
21:35:00,19.19
21:35:01,19.18
21:35:02,19.18
21:35:03,19.18
21:35:04,19.18
21:35:05,19.18
21:35:06,19.18
21:35:07,19.17
21:35:08,19.17
21:35:09,19.16
21:35:10,19.16
21:35:11,19.16
21:35:12,19.15
21:35:13,19.15
21:35:14,19.15
21:35:15,19.15
21:35:16,19.15
21:35:17,19.14
21:35:18,19.14
21:35:19,19.14
21:35:20,19.13
21:35:21,19.13
21:35:22,19.13
21:35:23,19.13
21:35:24,19.12
21:35:25,19.12
21:35:26,19.12
21:35:27,19.12
21:35:28,19.11
21:35:29,19.11
21:35:30,19.11
21:35:31,19.10
21:35:32,19.10
21:35:33,19.10
21:35:34,19.10
21:35:35,19.10
21:35:36,19.10
21:35:37,19.09
21:35:38,19.09
21:35:39,19.08
21:35:40,19.08
21:35:41,19.08
21:35:42,19.08
21:35:43,19.08
21:35:44,19.08
21:35:45,19.07
21:35:46,19.07
21:35:47,19.07
21:35:48,19.06
21:35:49,19.06
21:35:50,19.06
21:35:51,19.05
21:35:52,19.05
21:35:53,19.05
21:35:54,19.05
21:35:55,19.04
21:35:56,19.04
21:35:57,19.04
21:35:58,19.04
21:35:59,19.03
21:36:00,19.03
21:36:01,19.03
21:36:02,19.03
21:36:03,19.03
21:36:04,19.02
21:36:06,19.02
21:36:07,19.02
21:36:08,19.02
21:36:09,19.02
21:36:10,19.01
21:36:11,19.01
21:36:12,19.01
21:36:13,19.01
21:36:14,19.01
21:36:15,19.00
21:36:16,19.00
21:36:17,19.00
21:36:18,19.00
21:36:19,18.99
21:36:20,18.99
21:36:21,18.99
21:36:22,18.98
21:36:23,18.99
21:36:24,18.98
21:36:25,18.98
21:36:26,18.98
21:36:27,18.97
21:36:28,18.98
21:36:29,18.97
21:36:30,18.97
21:36:31,18.97
21:36:32,18.97
21:36:33,18.96
21:36:34,18.96
21:36:35,18.96
21:36:36,18.95
21:36:37,18.95
21:36:38,18.95
21:36:39,18.95
21:36:40,18.95
21:36:41,18.95
21:36:42,18.94
21:36:43,18.94
21:36:44,18.94
21:36:45,18.94
21:36:46,18.93
21:36:47,18.93
21:36:48,18.93
21:36:49,18.93
21:36:50,18.92
21:36:51,18.92
21:36:52,18.92
21:36:53,18.92
21:36:54,18.92
21:36:55,18.91
21:36:56,18.91
21:36:57,18.91
21:36:58,18.91
21:36:59,18.90
21:37:00,18.90
21:37:01,18.90
21:37:02,18.90
21:37:03,18.90
21:37:04,18.89
21:37:05,18.89
21:37:06,18.89
21:37:07,18.89
21:37:08,18.88
21:37:09,18.88
21:37:10,18.88
21:37:11,18.88
21:37:12,18.88
21:37:13,18.88
21:37:14,18.88
21:37:15,18.88
21:37:16,18.88
21:37:17,18.88
21:37:18,18.87
21:37:19,18.88
21:37:20,18.88
21:37:21,18.88
21:37:22,18.88
21:37:23,18.88
21:37:24,18.87
21:37:25,18.88
21:37:26,18.87
21:37:27,18.87
21:37:28,18.87
21:37:29,18.87
21:37:30,18.87
21:37:31,18.87
21:37:32,18.87
21:37:34,18.86
21:37:35,18.87
21:37:36,18.87
21:37:37,18.87
21:37:38,18.86
21:37:39,18.86
21:37:40,18.86
21:37:41,18.86
21:37:42,18.85
21:37:43,18.85
21:37:44,18.85
21:37:45,18.85
21:37:46,18.84
21:37:47,18.85
21:37:48,18.84
21:37:49,18.84
21:37:50,18.84
21:37:51,18.84
21:37:52,18.84
21:37:53,18.83
21:37:54,18.83
21:37:55,18.83
21:37:56,18.83
21:37:57,18.83
21:37:58,18.83
21:37:59,18.83
21:38:00,18.83
21:38:01,18.83
21:38:02,18.83
21:38:03,18.82
21:38:04,18.82
21:38:05,18.82
21:38:06,18.82
21:38:07,18.82
21:38:08,18.81
21:38:09,18.81
21:38:10,18.81
21:38:11,18.80
21:38:12,18.81
21:38:13,18.81
21:38:14,18.80
21:38:15,18.80
21:38:16,18.80
21:38:17,18.80
21:38:18,18.80
21:38:19,18.80
21:38:20,18.79
21:38:21,18.80
21:38:22,18.79
21:38:23,18.79
21:38:24,18.79
21:38:25,18.79
21:38:26,18.79
21:38:27,18.79
21:38:28,18.78
21:38:29,18.78
21:38:30,18.78
21:38:31,18.78
21:38:32,18.78
21:38:33,18.77
21:38:34,18.77
21:38:35,18.77
21:38:36,18.77
21:38:37,18.77
21:38:38,18.77
21:38:39,18.77
21:38:40,18.77
21:38:41,18.77
21:38:42,18.77
21:38:43,18.77
21:38:44,18.77
21:38:45,18.77
21:38:46,18.77
21:38:47,18.77
21:38:48,18.77
21:38:49,18.76
21:38:50,18.76
21:38:51,18.76
21:38:52,18.76
21:38:53,18.76
21:38:54,18.75
21:38:55,18.75
21:38:56,18.75
21:38:57,18.74
21:38:58,18.74
21:38:59,18.74
21:39:00,18.73
21:39:02,18.73
21:39:03,18.73
21:39:04,18.73
21:39:05,18.74
21:39:06,18.73
21:39:07,18.73
21:39:08,18.74
21:39:09,18.74
21:39:10,18.74
21:39:11,18.74
21:39:12,18.74
21:39:13,18.74
21:39:14,18.74
21:39:15,18.74
21:39:16,18.74
21:39:17,18.74
21:39:18,18.73
21:39:19,18.74
21:39:20,18.73
21:39:21,18.73
21:39:22,18.73
21:39:23,18.73
21:39:24,18.73
21:39:25,18.73
21:39:26,18.73
21:39:27,18.73
21:39:28,18.73
21:39:29,18.72
21:39:30,18.72
21:39:31,18.72
21:39:32,18.72
21:39:33,18.72
21:39:34,18.72
21:39:35,18.72
21:39:36,18.72
21:39:37,18.72
21:39:38,18.72
21:39:39,18.72
21:39:40,18.72
21:39:41,18.72
21:39:42,18.72
21:39:43,18.71
21:39:44,18.71
21:39:45,18.71
21:39:46,18.71
21:39:47,18.70
21:39:48,18.70
21:39:49,18.70
21:39:50,18.70
21:39:51,18.69
21:39:52,18.69
21:39:53,18.69
21:39:54,18.69
21:39:55,18.69
21:39:56,18.69
21:39:57,18.68
21:39:58,18.68
21:39:59,18.68
21:40:00,18.68
21:40:01,18.68
21:40:02,18.68
21:40:03,18.68
21:40:04,18.68
21:40:05,18.68
21:40:06,18.68
21:40:07,18.68
21:40:08,18.67
21:40:09,18.68
21:40:10,18.67
21:40:11,18.67
21:40:12,18.68
21:40:13,18.67
21:40:14,18.67
21:40:15,18.67
21:40:16,18.67
21:40:17,18.67
21:40:18,18.67
21:40:19,18.67
21:40:20,18.66
21:40:21,18.66
21:40:22,18.66
21:40:23,18.66
21:40:24,18.66
21:40:25,18.66
21:40:26,18.66
21:40:27,18.66
21:40:28,18.66
21:40:30,18.66
21:40:31,18.66
21:40:32,18.66
21:40:33,18.66
21:40:34,18.66
21:40:35,18.66
21:40:36,18.66
21:40:37,18.66
21:40:38,18.66
21:40:39,18.66
21:40:40,18.66
21:40:41,18.67
21:40:42,18.66
21:40:43,18.66
21:40:44,18.66
21:40:45,18.65
21:40:46,18.65
21:40:47,18.66
21:40:48,18.65
21:40:49,18.65
21:40:50,18.65
21:40:51,18.65
21:40:52,18.65
21:40:53,18.65
21:40:54,18.66
21:40:55,18.66
21:40:56,18.65
21:40:57,18.66
21:40:58,18.65
21:40:59,18.65
21:41:00,18.65
21:41:01,18.66
21:41:02,18.66
21:41:03,18.66
21:41:04,18.66
21:41:05,18.66
21:41:06,18.66
21:41:07,18.66
21:41:08,18.66
21:41:09,18.66
21:41:10,18.66
21:41:11,18.66
21:41:12,18.66
21:41:13,18.66
21:41:14,18.65
21:41:15,18.65
21:41:16,18.65
21:41:17,18.65
21:41:18,18.65
21:41:19,18.65
21:41:20,18.65
21:41:21,18.65
21:41:22,18.65
21:41:23,18.64
21:41:24,18.64
21:41:25,18.65
21:41:26,18.65
21:41:27,18.64
21:41:28,18.64
21:41:29,18.65
21:41:30,18.64
21:41:31,18.65
21:41:32,18.65
21:41:33,18.65
21:41:34,18.65
21:41:35,18.65
21:41:36,18.65
21:41:37,18.65
21:41:38,18.65
21:41:39,18.65
21:41:40,18.64
21:41:41,18.65
21:41:42,18.64
21:41:43,18.64
21:41:44,18.64
21:41:45,18.64
21:41:46,18.63
21:41:47,18.63
21:41:48,18.63
21:41:49,18.63
21:41:50,18.63
21:41:51,18.63
21:41:52,18.63
21:41:53,18.63
21:41:54,18.63
21:41:55,18.63
21:41:56,18.63
21:41:58,18.63
