Wiper,Voltage (V),std (V)
0,-0.00028125858333079019,9.3752861110263383e-05
1,0.051376567888424332,8.385510821105843e-05
2,0.1031656483657338,0.00011250343333231161
3,0.15512348399304177,8.5925916531297798e-05
4,0.2064250495925779,5.6251716666144717e-05
5,0.25832663350321977,0.00012006224346076769
6,0.31009696340830717,0.00016346369889896504
7,0.36139852900784331,9.1858668658471868e-05
8,0.41320636005737477,0.00012006224346076768
9,0.4645079256569109,0.00014644665062035989
10,0.51535947752311773,0.0011100908859565065
11,0.56763607287820061,0.00096360429368401554
12,0.61965016022217489,8.5925916531323236e-05
13,0.67188925443281355,0.00012006224346075469
14,0.72155952024903103,0.00030000915555284112
15,0.7729173375652334,0.00040607003904364675
16,0.82446266060365603,0.00020540222744297251
17,0.87664550309762868,0.00029108715883000165
18,0.92867834101382485,0.00093677828796436707
19,0.98179871211890002,0.00032960498058161254
20,1.0336627948850978,8.592591653127236e-05
21,1.0851518662068544,0.00016875514999849827
22,1.1363034272286143,0.0010851058370194649
23,1.1884112674336986,0.00014524130789579043
24,1.239919089327677,0.0006443761752042116
25,1.292120682393872,0.00013125400555440744
26,1.3440785180211798,0.00011250343333228939
27,1.3956613422040469,0.00014644665062031652
28,1.4479379375591299,0.00015575395066312286
29,1.50019578234199,0.00016346369889893827
30,1.5511223364970854,0.00015000457777643026
31,1.6030239204077277,0.00016346369889904018
32,1.6547567491683708,0.00024375743888671928
33,1.7079896237067782,0.00064410330787249837
34,1.760228717917417,0.00025434513636474958
35,1.810967766350291,0.00049467406968981681
36,1.8629818536942657,0.00022500686666462321
37,1.9144521744438001,0.00029587903897524852
38,1.9660724997711114,0.00033751029999695703
39,2.0173365642262029,0.00024875445065997804
40,2.0687506332590719,0.00020540222744291168
41,2.1208959746086,0.00027107387804570471
42,2.1720287850581381,0.00023419457199103168
43,2.2230490920743429,0.00019576172121573687
44,2.2743881588183235,0.00014644665062031657
45,2.3265897518845176,0.00017689254455806769
46,2.3773850520340583,0.00016771021642207653
47,2.4291928830835907,0.00023791808956725785
48,2.4805882015442364,0.00019121906730263147
49,2.5318335154271066,0.00034625154137005149
50,2.5836600970488601,0.001126439748403823
51,2.6363117038483841,0.00019576172121564756
52,2.6876695211645867,0.00061506450028604004
53,2.7397586107974483,0.00076487626921003821
54,2.7907601672414315,0.00032692739779807017
55,2.8419679799798581,0.00027874729570452974
56,2.8940570696127197,0.00017287173420099929
57,2.9460336558122497,0.00016875514999862163
58,2.9983665028839996,0.00026250801110867529
59,3.0492930570390939,0.00015000457777657463
60,3.1010258857997375,0.00038472957592770645
61,3.1535837397381514,0.00019121906730250953
62,3.2054103213599054,0.00014524130789570443
63,3.2570493972594385,0.00034777130671902895
64,3.3077321939756468,0.00087164954807089027
65,3.3572524552140877,0.003156340135731794
66,3.41153536179693,0.00027874729570466717
67,3.4526178655354469,0.0059396414662181603
68,3.5008443372905669,0.008027873065587849
69,3.5618586993011263,0.00016771021642227515
70,3.6144728049562063,0.00046082177794366997
71,3.6662431348612934,0.00014644665062031652
72,3.7181634693441579,0.00012437722532998902
73,3.7700838038270206,0.00015117194618232254
74,3.8224916531876589,0.00014524130789570443
75,3.8755932737205114,0.0001125034333323782
76,3.9271573473311561,0.00064301068060928623
77,3.9795651966917944,0.00012006224346073216
78,4.0312042725913271,0.00031875972777518831
79,4.0838746299630735,0.00018750572222057116
80,4.1350824427014992,0.0015127656748095367
81,4.1883528183843506,0.00027557600597562411
82,4.2396356334116643,0.00016875514999860683
83,4.291443464461195,0.0028125858333080699
84,4.3485202063051238,0.0005511520119508553
85,4.4010405590990933,0.00015117194618221241
86,4.452829639576402,0.00014644665062031088
87,4.5046562211981573,0.00021296556216080911
88,4.556707809686575,0.00020625629444270417
89,4.6086656453138826,0.00062639260680344845
90,4.6606422315134122,0.00025156532463318099
91,4.7124688131351657,0.00036743467463367898
92,4.7640328867458113,0.00065600210776554533
93,4.8165907406842248,0.00029108715883001738
94,4.8686610797448653,0.00017185183306268038
95,4.9203376567888437,0.0013258656769342058
96,4.9730642658772553,0.00014031643412177759
97,5.0253408612323378,0.00018750572222057116
98,5.0774487014374214,0.00075212937017163134
99,5.1235188573870056,0.0068006441060559242
100,5.1294627887813968,0.00016875514999849822
